species,invam_id,prior_test
A. colombiana,CL356N-14,
A. columbiana,NB104C-9,
A. columbiana,WV107B-20,
A. delicata,AZ369N-18,
A. delicata,AZ661-25,
A. delicata,ML103-20,
A. elegans,FL736A-12,
A. foveata,CR401A-11,
A. kentinensis,FL709-10,
A. koskei,FL226A-18,
A. koskei,MG101B-12,
A. koskei,WV685-22,
A. leptoticha,FL130A-25,
A. leptoticha,JA401-19,
A. leptoticha,NI116A-25,
A. mellea,JA114-15,
A. mellea,JA114-9,
A. mellea,MA461B-21,
A. morrowiae,BR983A-24,
A. morrowiae,CL551-23,
A. morrowiae,EY104-22,
A. morrowiae,KR102-19,
A. pauliniae,AU103A-25,
A. schenkii,CL401-24,
A. scrobiculata,BR984-17,
A. scrobiculata,BR984N-12,
A. scrobiculata,MD301-13,
A. spinosa,IN123-6,Slide prepared
A. spinosa,MN405B-25,Slide prepared
A. spinosa,WV861A-27,Slide prepared
A. trappei,AU219-23,
A. trappei,ON201D-15,
A. trappei,UK233-19,"Attempted, unsuccessful"
A. tuberculata,VZ103E-33,
C. candidum,KE102A-15,
C. candidum,NC172-16,
C. claroideum,JA205F-22,
C. claroideum,KS503-5,
C. claroideum,SA112-21,
C. claroideum,SC186-20,
C. claroideum,SE105B-20,
C. claroideum,SW209-17,
C. claroideum/luteum,KS504-5,
C. claroideum/luteum,KS506-5,
C. etunicatum,IA504A-19,
C. etunicatum,JA101D-21,
C. etunicatum,ZM102-17,
C. etunicatum,ZM102-17,
C. etunicatum YV,FL912NC-10,
C. luteum,UK136-20,
C. pellucida,BR208A-28,Slide prepared
C. pellucida,FL966-20,Slide prepared
C. pellucida,MN408A-29,"Attempted, unsuccessful"
D. eburnea,AZ420A-28,
D. eburnea,MX917-26,
D. eburnea,SL212-17,
D. epigae,AZ150B-9,
D. erythropa,HA150B-29,
D. erythropa,MA453B-14,
D. erythropa,RI275B-21,
D. globifera,NM105-15,
D. heterogama,BR155A-16,
D. heterogama,IL203A-16,
D. heterogama,SN722N-16,
D. spurca,ML109-23,
D. spurca,SC151-20,
D. tortuosum,JA306A-25,
D. trimurales,NB103A-30,
E. infrequens,BEG51-53,"Attempted, unsuccessful"
E. infrequens,BR211A-34PotA,"Attempted, unsuccessful"
E. infrequens,CA203-45,Slide prepared
F. caledonius,HA692B-25,
F. caledonius,UK301-24,
F. caledonius,UK361N-8,
F. coronatum,MR101-27,
F. fragistratum,DN928-25,
F. mosseae,BR227-7,
F. mosseae,OR211-17,"Attempted, unsuccessful"
F. mosseae,UK115-25,
F. mosseae,WY107-26,
F. mosseae,WY108-26,Slide prepared
G. albida,BEG17-12,
G. albida,CL151-7,Slide prepared
G. albida,FL713-8,
G. gigantea,MA453A-12,"Attempted, unsuccessful"
G. gigantea,MR103-8,"Attempted, unsuccessful"
G. decipiens,AU102-9,
G. hyaline,WV692B-9,
G. margarita,FR141-9,"Attempted, unsuccessful"
G. margarita,JA101A-12,"Attempted, unsuccessful"
G. microaggregatum,IT202-8,
G. microaggregatum,UT126-B,
G. rosea,FL105-10,
G. rosea,FR142-9,Slide prepared
G. rosea,JA101B-4,Slide prepared
P. brasilianum,BR105-22,
P. brasilianum,FL710-19,
P. brasilianum,FR120-10,
P. mirificum,BR103-26,
P. mirificum,JA203-30,
P. mirificum,NI116B-19,
P. occultum,CL700A-19,
P. occultum,GR582-21,
P. occultum,NB104B-17,
R. castanea,BEG1-26,
R. clarus,AU404-5,"Attempted, unsuccessful"
R. clarus,BR854-13,"Attempted, unsuccessful"
R. clarus,FL979A-12,Slide prepared
R. corraloides,CA260-28,
R. diaphanus,BR208B-20,
R. diaphanus,CI104-20,
R. diaphanus,WV579B-35,
R. dimorphicus,BR947NB-8,
R. dimorphicus,ON205C-6,
R. dimorphicus,TW115-15,
R. fulgida,IN212-14,
R. fulgida,NC303A-8,
R. fulgida,PA103B-9,
R. gregaria,NC210-18,
R. intraradices,IC101-24,
R. intraradices,JA103A-23,
R. intraradices,NE108B-22,
R. intraradices,UT126A-40,
R. irregularis,CR316A-23,
R. irregularis,ON205B-14,
R. irregularis,PL112B-11,
R. manihotis,FL879N-12,
R. manihotis,HA567-23,
R. persica,MA461A-31,
R. sinuosis,MD126-24,
R. sinuosis,NC206-11,
R. verrucosa,HA150A-16,
R. verrucosa,VA103A-24,
R. verrucosa,VA105B-15,
S. calospora,AU212A-25,
S. calospora,NC185-19,
S. calospora,PL114-32,
S. constrictum,FL328-25,"Attempted, unsuccessful"
S. constrictum,KS890-28,Slide prepared
S. constrictum,NE202-29,"Attempted, unsuccessful"
S. deserticola,CA113-27,
S. deserticola,HA201-20,
S. deserticola,SP105-8,
S. dipurpurascens,MX921-30,
S. dipurpurascens,WV109A-25,
S. dipurpurascens,WV930-4,
